Cidade;Escola;SegmentoRespondente;AnoDaAvaliacao;Questao;Resposta;QuantidadeDeRespostas
MIRANDA;EE INDÍGENA CACIQUE TIMÓTEO;Diretores;2018;Sexo;Masculino;1
DOURADOS;EE PRES. TANCREDO NEVES;Pais ou Responsáveis;2018;Formação;Ensino Superior (Incompleto);8
CAMPO GRANDE;CEEJA - PROFª IGNÊS DE LAMÔNICA GUIMARÃES - MS;Professores;2018;Você se considera;Branco;24
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Pedagoga;1
DOURADOS;EE CASTRO ALVES;Funcionários Administrativos;2018;Formação;Ensino Superior (Incompleto);3
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Avaliadores externos;2018;Sexo;Feminino;1
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;Diretores Adjuntos;2018;Você se considera;Branco;1
TRÊS LAGOAS;EE FERNANDO CORRÊA;Funcionários Administrativos;2018;Idade;Mais de 50 anos;9
CAARAPÓ;EE ARCÊNIO ROJAS;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Filho(a);96
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Secretários Escolares;2018;Exerce esta função;Há mais de 6 anos;1
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Diretores Adjuntos;2018;Formação;Ensino Superior;1
CAMPO GRANDE;EE NICOLAU FRAGELLI;Diretores;2018;Você se considera;Branco;1
DOURADOS;EE ROTARY DR. NELSON DE ARAÚJO;Pais ou Responsáveis;2018;Idade;31 a 35 anos;6
DOURADOS;EE RAMONA DA SILVA PEDROSO;Professores;2018;Você se considera;Pardo;13
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;diarista;3
CAMPO GRANDE;EE GENERAL MALAN;Professores;2018;Trabalha nesta escola;Há mais de 6 anos;7
DOURADOS;EE ANTÔNIA DA SILVEIRA CAPILÉ;Funcionários Administrativos;2018;Formação;Ensino Superior;5
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Professores;2018;Idade;46 a 50 anos;9
AQUIDAUANA;EE INDÍGENA DE EM PASCOAL LEITE DIAS;Estudantes;2018;Ano escolar;3º ano do Ensino Médio;5
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Estudantes;2018;Ano escolar;6º ano do Ensino Fundamental;5
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Professores;2018;Trabalha nesta escola;De 1 a 3 anos;10
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;Diretores Adjuntos;2018;Sexo;Masculino;1
SIDROLÂNDIA;EE KOPENOTI DE EM PROF. LÚCIO DIAS;Secretários Escolares;2018;Trabalha nesta escola;De 1 a 3 anos;1
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Professores;2018;Licenciatura;Geografia;7
CASSILÂNDIA;EE SÃO JOSÉ;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Estética;1
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Coordenadores Pedagógicos;2018;Exerce esta função;Há mais de 6 anos;1
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;Diretores;2018;Você se considera;Pardo;1
FÁTIMA DO SUL;EE SENADOR FILINTO MULLER;Professores;2018;Licenciatura;Filosofia;1
CASSILÂNDIA;EE SÃO JOSÉ;Diretores Adjuntos;2018;Licenciatura;Geografia;1
CAMPO GRANDE;EE HÉRCULES MAYMONE;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Assistente de Atividades Educacionais;5
PARANAÍBA;EE MANOEL GARCIA LEAL;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Filho(a);120
CAMPO GRANDE;EE VESPASIANO MARTINS;Coordenadores Técnicos;2018;Sexo;Feminino;1
CAMPO GRANDE;EE PROF. EMYGDIO CAMPOS WIDAL;Pais ou Responsáveis;2018;Idade;Mais de 50 anos;6
TRÊS LAGOAS;EE AFONSO FRANCISCO XAVIER TRANNIN;Avaliadores externos;2018;Idade;31 a 35 anos;1
TRÊS LAGOAS;EE JOÃO PONCE DE ARRUDA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;reciclagem;1
IVINHEMA;EE REYNALDO MASSI;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Recepcionista;1
TRÊS LAGOAS;EE JOÃO DANTAS FILGUEIRAS;Pais ou Responsáveis;2018;Formação;Especialização;8
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Pais ou Responsáveis;2018;Sexo;Masculino;32
CAMPO GRANDE;EE ANTÔNIO DELFINO PEREIRA;Professores;2018;Graduação;Bacharelado;1
ITAPORÃ;EE ANTÔNIO JOÃO RIBEIRO;Professores;2018;Você leciona em;Duas escolas;23
DOURADOS;EE PASTOR DANIEL BERG;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Neto(a);9
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;Professores;2018;Licenciatura;Artes;2
ÁGUA CLARA;EE CHICO MENDES;Secretários Escolares;2018;Você se considera;Branco;1
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Professores;2018;Você leciona em;Duas escolas;31
MIRANDA;ESCOLA ESTADUAL INDIGENA CACIQUE VICENTE DE ALMEIDA;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 3 a 4 horas;1
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Afilhado(a);1
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Professores;2018;Sexo;Masculino;3
MIRANDA;EE CAETANO PINTO;Diretores Adjuntos;2018;Licenciatura;Letras;1
CAMPO GRANDE;EE PADRE JOÃO GREINER;Diretores;2018;Licenciatura;Ciências Biológicas;1
CORUMBÁ;EE DR. JOÃO LEITE DE BARROS;Avaliadores externos;2018;Formação;Ensino Superior;1
TRÊS LAGOAS;EE AFONSO FRANCISCO XAVIER TRANNIN;Professores;2018;Licenciatura;Letras;4
BONITO;EE BONIFÁCIO CAMARGO GOMES;Professores;2018;Idade;31 a 35 anos;10
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Coordenadores Pedagógicos;2018;Trabalha nesta escola;De 4 a 6 anos;2
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Motorista;4
BATAGUASSU;EE PROFESSOR BRAZ SINIGÁGLIA;Professores;2018;Você se considera;Pardo;12
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Estudantes;2018;Ano escolar;1º ano do Ensino Médio;25
PARANAÍBA;EE ARACILDA CÍCERO CORRÊA DA COSTA;Diretores;2018;Pós-Graduação;Especialização;1
CAARAPÓ;EE TENENTE AVIADOR ANTÔNIO JOÃO;Coordenadores Pedagógicos;2018;Você se considera;Branco;1
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;Professores;2018;Idade;Menos de 25 anos;2
CAMPO GRANDE;EE RIACHUELO;Professores;2018;Licenciatura;Ciências Biológicas;5
SELVÍRIA;EE ANA MARIA DE SOUZA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Eltricista;1
CAMPO GRANDE;EE ZAMENHOF;Professores;2018;Idade;Mais de 50 anos;6
CAMPO GRANDE;EE 26 DE AGOSTO;Estudantes;2018;Você se considera;Indígena;1
NAVIRAÍ;EE JURACY ALVES CARDOSO;Funcionários Administrativos;2018;Exerce esta função;De 4 a 6 anos;2
ANASTÁCIO;EE DEP. CARLOS SOUZA MEDEIROS;Professores;2018;Sexo;Masculino;12
CAMPO GRANDE;EE PADRE JOÃO GREINER;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Sim;22
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;Funcionários Administrativos;2018;Trabalha nesta escola;De 4 a 6 anos;2
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Secretários Escolares;2018;Você se considera;Branco;1
ANASTÁCIO;EE MARIA CORRÊA DIAS;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;faxineira;1
IVINHEMA;EE SENADOR FILINTO MULLER;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Usina;2
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Funcionários Administrativos;2018;Exerce esta função;Há mais de 6 anos;7
ITAPORÃ;EE RODRIGUES ALVES;Estudantes;2018;Estuda nesta escola;De 2 a 4 anos;87
ITAPORÃ;EE ANTÔNIO JOÃO RIBEIRO;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 2 a 4 anos;19
NAVIRAÍ;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SEN. RAMEZ TEBET;Coordenadores Técnicos;2018;Idade;46 a 50 anos;1
LADÁRIO;EE 2 DE SETEMBRO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Auxiliar de pedreiro;1
AQUIDAUANA;EE INDÍGENA DE EM PASTOR REGINALDO MIGUEL - HOYENÓ O;Professores;2018;Exerce esta função;De 1 a 3 anos;6
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Gestor em Atividades Educacionais;1
PARANAÍBA;EE MANOEL GARCIA LEAL;Funcionários Administrativos;2018;Idade;36 a 40 anos;3
IGUATEMI;EE PAULO FREIRE;Coordenadores Pedagógicos;2018;Pós-Graduação;Especialização;2
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Diretores;2018;Trabalha nesta escola;Há mais de 6 anos;1
AQUIDAUANA;EE GERALDO AFONSO GARCIA FERREIRA;Professores;2018;Você se considera;Branco;11
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;Avaliadores externos;2018;Você se considera;Pardo;1
NAVIRAÍ;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SEN. RAMEZ TEBET;Funcionários Administrativos;2018;Exerce esta função;Há mais de 6 anos;1
IGUATEMI;EE PAULO FREIRE;Funcionários Administrativos;2018;Idade;41 a 45 anos;4
CAARAPÓ;EE ARCÊNIO ROJAS;Estudantes;2018;Idade;26 a 30 anos;10
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Secretários Escolares;2018;Exerce esta função;Há mais de 6 anos;1
PARANAÍBA;EE DR. ERMÍRIO LEAL GARCIA;Pais ou Responsáveis;2018;Formação;Ensino Fundamental;10
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de recepção e portaria;1
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Pais ou Responsáveis;2018;Formação;Mestrado (Incompleto);1
CASSILÂNDIA;EE HERMELINA BARBOSA LEAL;Estudantes;2018;Estuda nesta escola;De 4 a 6 anos;19
CAMPO GRANDE;CEI JOSÉ EDUARDO MARTINS JALLAD - ZEDU;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Assistente de Ações Sociais;1
CAMPO GRANDE;EE CORAÇÃO DE MARIA;Coordenadores Pedagógicos;2018;Trabalha nesta escola;Há mais de 6 anos;1
CAMPO GRANDE;EE PROFª JOELINA DE ALMEIDA XAVIER;Estudantes;2018;Possui computador em casa;Sim;47
PARANAÍBA;EE DR. ERMÍRIO LEAL GARCIA;Funcionários Administrativos;2018;Idade;41 a 45 anos;1
TRÊS LAGOAS;EE AFONSO FRANCISCO XAVIER TRANNIN;Professores;2018;Licenciatura;Matemática;4
ANASTÁCIO;EE MARIA CORRÊA DIAS;Secretários Escolares;2018;Sexo;Masculino;1
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Secretários Escolares;2018;Graduação;Licenciatura;1
INOCÊNCIA;EE  PROF. JOÃO PEREIRA VALIM;Pais ou Responsáveis;2018;Formação;Especialização;11
CAARAPÓ;EE ARCÊNIO ROJAS;Professores;2018;Pós-Graduação;Não possui;6
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Professores;2018;Exerce esta função;Há mais de 6 anos;46
TRÊS LAGOAS;EE FERNANDO CORRÊA;Professores;2018;Exerce esta função;Há mais de 6 anos;41
NAVIRAÍ;EE ANTONIO FERNANDES;Professores;2018;Licenciatura;Ciências Biológicas;3
NAVIRAÍ;EE VINÍCIUS DE MORAES;Pais ou Responsáveis;2018;Formação;Magistério;1
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;Coordenadores Técnicos;2018;Licenciatura;Química;1
IVINHEMA;EE SENADOR FILINTO MULLER;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 3 a 4 horas;6
AQUIDAUANA;EE CÂNDIDO MARIANO;Avaliadores externos;2018;Pós-Graduação;Especialização;1
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Professores;2018;Você leciona em;Duas escolas;11
AQUIDAUANA;EE CÂNDIDO MARIANO;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Outros;2
TRÊS LAGOAS;EE JOÃO PONCE DE ARRUDA;Estudantes;2018;Estuda nesta escola;Há menos de um ano;47
AQUIDAUANA;EE CÂNDIDO MARIANO;Professores;2018;Formação;Ensino Superior;46
NAVIRAÍ;EE ANTONIO FERNANDES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;professor;4
CAMPO GRANDE;EE JOAQUIM MURTINHO;Coordenadores Pedagógicos;2018;Formação;Ensino Superior;7
CAARAPÓ;EE TENENTE AVIADOR ANTÔNIO JOÃO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;servente de pedreiro;1
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Diretores Adjuntos;2018;Licenciatura;Ciências Biológicas;1
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Pais ou Responsáveis;2018;Formação;Especialização;6
DOURADOS;EE PRES. TANCREDO NEVES;Pais ou Responsáveis;2018;Você se considera;Indígena;2
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Coordenadores Pedagógicos;2018;Informe o bacharelado;Administração;1
CAMPO GRANDE;EE 26 DE AGOSTO;Pais ou Responsáveis;2018;Idade;31 a 35 anos;18
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;Avaliadores externos;2018;Sexo;Feminino;1
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Pais ou Responsáveis;2018;Idade;25 a 30 anos;16
CAMPO GRANDE;CEEJA - PROFª IGNÊS DE LAMÔNICA GUIMARÃES - MS;Funcionários Administrativos;2018;Idade;41 a 45 anos;2
ANASTÁCIO;EE ROBERTO SCAFF;Estudantes;2018;Possui computador em casa;Não;36
CAMPO GRANDE;EE ZAMENHOF;Diretores;2018;Você se considera;Branco;1
CAMPO GRANDE;EE PROFª ALICE NUNES ZAMPIERE;Pais ou Responsáveis;2018;Sexo;Masculino;35
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 6 a 8 anos;12
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Estudantes;2018;Você se considera;Preto;12
CAARAPÓ;EE PROF. JOAQUIM ALFREDO SOARES VIANNA;Professores;2018;Idade;25 a 30 anos;10
CORUMBÁ;EE OCTACÍLIO FAUSTINO DA SILVA;Coordenadores Pedagógicos;2018;Exerce esta função;Há mais de 6 anos;1
CAMPO GRANDE;EE 26 DE AGOSTO;Funcionários Administrativos;2018;Idade;31 a 35 anos;1
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;restaurante;1
DOURADOS;EE RAMONA DA SILVA PEDROSO;Professores;2018;Sexo;Masculino;15
GLÓRIA DE DOURADOS;EE PROFESSORA EUFROSINA PINTO;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há mais de 8 anos;2
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;Estudantes;2018;Estuda nesta escola;De 4 a 6 anos;24
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Diretores Adjuntos;2018;Você se considera;Branco;1
CAMPO GRANDE;EE PADRE JOÃO GREINER;Pais ou Responsáveis;2018;Idade;36 a 40 anos;7
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Coordenadores Pedagógicos;2018;Sexo;Masculino;1
BATAGUASSU;EE PROFESSOR BRAZ SINIGÁGLIA;Funcionários Administrativos;2018;Formação;Especialização;1
INOCÊNCIA;EE  PROF. JOÃO PEREIRA VALIM;Estudantes;2018;Sexo;Masculino;83
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;vendedora;8
BATAGUASSU;EE PROFESSOR BRAZ SINIGÁGLIA;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de inspeção de estudantes;1
CORUMBÁ;EE CARLOS DE CASTRO BRASIL;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Assistente de Inspeção de estudantes;2
DOURADOS;EE PROFª FLORIANA LOPES;Diretores;2018;Graduação;Licenciatura;1
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Secretários Escolares;2018;Exerce esta função;Há mais de 6 anos;1
NAVIRAÍ;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SEN. RAMEZ TEBET;Professores;2018;Idade;25 a 30 anos;4
GLÓRIA DE DOURADOS;EE PROFESSORA EUFROSINA PINTO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;comerciante;8
AQUIDAUANA;EE INDÍGENA DE EM PASCOAL LEITE DIAS;Professores;2018;Licenciatura;História;1
AQUIDAUANA;EE CÂNDIDO MARIANO;Professores;2018;Licenciatura;Educação Física;4
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Professores;2018;Pós-Graduação;Não possui;12
DOURADOS;EE INDÍGENA DE EM INT. GUATEKA - MARÇAL DE SOUZA;Diretores;2018;Licenciatura;Ciências Biológicas;1
NAVIRAÍ;EE EURICO GASPAR DUTRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;VENDEDORA;4
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Funcionários Administrativos;2018;Exerce esta função;Há mais de 6 anos;11
NAVIRAÍ;EE JURACY ALVES CARDOSO;Professores;2018;Licenciatura;Matemática;4
BONITO;EE BONIFÁCIO CAMARGO GOMES;Funcionários Administrativos;2018;Idade;41 a 45 anos;2
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Pais ou Responsáveis;2018;Idade;Mais de 50 anos;14
CAMPO GRANDE;EE HÉRCULES MAYMONE;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Cuidadora;1
IVINHEMA;EE SENADOR FILINTO MULLER;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Neto(a);4
CAMPO GRANDE;EE NICOLAU FRAGELLI;Pais ou Responsáveis;2018;Você se considera;Pardo;16
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Funcionários Administrativos;2018;Você se considera;Pardo;7
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;Secretários Escolares;2018;Formação;Ensino Superior;1
CAMPO GRANDE;EE GENERAL MALAN;Estudantes;2018;Idade;16 a 20 anos;108
NAVIRAÍ;EE JURACY ALVES CARDOSO;Professores;2018;Trabalha nesta escola;Há mais de 6 anos;21
DOURADOS;EE INDÍGENA DE EM INT. GUATEKA - MARÇAL DE SOUZA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;usina;2
CAMPO GRANDE;EE LINO VILLACHA;Coordenadores Técnicos;2018;Idade;46 a 50 anos;1
CAMPO GRANDE;EE HÉRCULES MAYMONE;Diretores;2018;Pós-Graduação;Especialização;1
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Estudantes;2018;Estuda nesta escola;De 4 a 6 anos;19
DOURADOS;EE VILMAR VIEIRA MATOS;Estudantes;2018;Ano escolar;1º ano do Ensino Médio;63
ANAURILÂNDIA;EE MARIA JOSÉ;Professores;2018;Exerce esta função;De 1 a 3 anos;4
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;Estudantes;2018;Idade;16 a 20 anos;154
PARANAÍBA;EE JOSÉ GARCIA LEAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;POLICIAL;1
CAMPO GRANDE;EE HÉRCULES MAYMONE;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;AUXILIAR DE COZINHA;3
IVINHEMA;EE REYNALDO MASSI;Coordenadores Pedagógicos;2018;Sexo;Feminino;4
CAMPO GRANDE;EE PADRE JOÃO GREINER;Professores;2018;Licenciatura;Letras;6
CORUMBÁ;EE CARLOS DE CASTRO BRASIL;Avaliadores externos;2018;Informe sua regional;CRE-03 - Corumbá;1
CAMPO GRANDE;EE PROFª ALICE NUNES ZAMPIERE;Coordenadores Pedagógicos;2018;Graduação;Licenciatura;3
AQUIDAUANA;EE GERALDO AFONSO GARCIA FERREIRA;Professores;2018;Você leciona em;Duas escolas;8
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de merenda;5
DOURADOS;EE CASTRO ALVES;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Sim;196
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de merenda;5
CAMPO GRANDE;EE PROFª JOELINA DE ALMEIDA XAVIER;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 2 a 4 anos;13
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Neto(a);4
PARANAÍBA;EE DR. ERMÍRIO LEAL GARCIA;Coordenadores Pedagógicos;2018;Formação;Ensino Superior;5
CAMPO GRANDE;EE 26 DE AGOSTO;Professores;2018;Você se considera;Pardo;17
SELVÍRIA;EE ANA MARIA DE SOUZA;Professores;2018;Pós-Graduação;Mestrado;2
ITAPORÃ;EE RODRIGUES ALVES;Professores;2018;Informe a licenciatura;Psicologia;1
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Coordenadores Pedagógicos;2018;Sexo;Masculino;1
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Pais ou Responsáveis;2018;Formação;Ensino Médio (Incompleto);21
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;Professores;2018;Você se considera;Branco;32
NAVIRAÍ;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SEN. RAMEZ TEBET;Professores;2018;Informe o bacharelado;Arquiteta urbanista;1
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de inspeção de estudantes;4
SIDROLÂNDIA;EE PROFESSORA CATARINA DE ABREU;Pais ou Responsáveis;2018;Idade;46 a 50 anos;12
DOURADOS;EE PASTOR DANIEL BERG;Professores;2018;Você se considera;Preto;1
TRÊS LAGOAS;EE JOÃO DANTAS FILGUEIRAS;Funcionários Administrativos;2018;Formação;Ensino Médio;12
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Estudantes;2018;Estuda nesta escola;De 4 a 6 anos;18
DOURADOS;CEEJA DE DOURADOS/ MS;Funcionários Administrativos;2018;Você se considera;Pardo;6
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Coordenadores Pedagógicos;2018;Idade;41 a 45 anos;1
DOURADOS;EE PASTOR DANIEL BERG;Professores;2018;Licenciatura;História;3
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Corretor de Imóveis;2
CAMPO GRANDE;EE GENERAL MALAN;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Letras;1
MIRANDA;EE CAETANO PINTO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;caminhoneiro;1
CAMPO GRANDE;EE DOLOR FERREIRA DE ANDRADE;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Não;51
TRÊS LAGOAS;EE PADRE JOÃO TOMES;Professores;2018;Você é professor;Efetivo;14
ITAPORÃ;EE RODRIGUES ALVES;Pais ou Responsáveis;2018;Você se considera;Amarelo;2
COSTA RICA;EE JOSÉ FERREIRA DA COSTA;Secretários Escolares;2018;Trabalha nesta escola;De 1 a 3 anos;1
PARANAÍBA;EE ARACILDA CÍCERO CORRÊA DA COSTA;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há mais de 8 anos;15
ANASTÁCIO;EE ROBERTO SCAFF;Professores;2018;Exerce esta função;Há menos de um ano;4
CAMPO GRANDE;CEI JOSÉ EDUARDO MARTINS JALLAD - ZEDU;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Funcionário de Empresa Privada;1
IVINHEMA;EE ANGELINA JAIME TEBET;Diretores Adjuntos;2018;Idade;Mais de 50 anos;1
CAMPO GRANDE;EE ZAMENHOF;Pais ou Responsáveis;2018;Idade;Menos de 25 anos;5
NIOAQUE;EE UIRAPURU;Professores;2018;Exerce esta função;Há mais de 6 anos;8
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Avaliadores externos;2018;Exerce esta função;Há menos de um ano;1
CAMPO GRANDE;EE PROF. SEVERINO DE QUEIROZ;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;autonomo;1
VICENTINA;EE PADRE JOSÉ DANIEL;Funcionários Administrativos;2018;Sexo;Masculino;2
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Professores;2018;Você leciona em;Mais de três escolas;2
PARANAÍBA;EE MANOEL GARCIA LEAL;Estudantes;2018;Ano escolar;1º ano do Ensino Médio;48
CAMPO GRANDE;EE LINO VILLACHA;Professores;2018;Você é professor;Efetivo;25
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Secretários Escolares;2018;Graduação;Bacharelado;1
